               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.011749,           0.0039935,           0.0014811,             0.99584,             0.99929,             0.99384,             0.93681,           0.0070533,           0.0023568,           0.0004532,            0.004159,            0.004159,            0.004159
                  61,            0.011607,           0.0039949,           0.0013163,             0.99616,             0.99922,             0.99397,             0.93766,           0.0070093,           0.0023447,           0.0004454,             0.00406,             0.00406,             0.00406
                  62,            0.011639,           0.0040519,           0.0015631,             0.99606,             0.99931,             0.99406,             0.93926,           0.0069759,            0.002335,          0.00044527,            0.003961,            0.003961,            0.003961
                  63,            0.011345,           0.0038882,           0.0012875,             0.99585,             0.99931,             0.99406,             0.93948,           0.0069441,           0.0023175,          0.00043152,            0.003862,            0.003862,            0.003862
                  64,            0.011421,           0.0039645,           0.0013828,             0.99591,             0.99927,             0.99406,             0.93998,           0.0069177,           0.0023084,          0.00042364,            0.003763,            0.003763,            0.003763
                  65,             0.01138,            0.003932,           0.0012788,             0.99589,             0.99946,             0.99408,             0.93957,           0.0068917,           0.0023005,          0.00041411,            0.003664,            0.003664,            0.003664
                  66,            0.011159,           0.0038846,           0.0012443,             0.99588,             0.99936,             0.99406,             0.94024,           0.0068611,           0.0022944,          0.00040422,            0.003565,            0.003565,            0.003565
                  67,            0.011187,           0.0038535,           0.0011913,             0.99583,             0.99952,             0.99409,             0.94117,           0.0068375,           0.0022873,          0.00040018,            0.003466,            0.003466,            0.003466
                  68,            0.011086,           0.0039005,           0.0011801,             0.99561,             0.99941,             0.99413,             0.94177,           0.0068111,           0.0022776,           0.0003902,            0.003367,            0.003367,            0.003367
                  69,            0.010946,           0.0038546,           0.0012424,             0.99591,             0.99941,             0.99411,              0.9423,           0.0067797,           0.0022663,          0.00038507,            0.003268,            0.003268,            0.003268
                  70,            0.010783,           0.0037676,           0.0010658,             0.99592,             0.99945,             0.99411,             0.94266,           0.0067537,           0.0022585,          0.00037704,            0.003169,            0.003169,            0.003169
                  71,            0.010694,           0.0037205,           0.0010007,             0.99622,             0.99928,             0.99414,             0.94273,           0.0067292,           0.0022468,          0.00037042,             0.00307,             0.00307,             0.00307
                  72,            0.010613,           0.0037244,           0.0010798,             0.99627,             0.99929,             0.99416,             0.94293,           0.0067158,           0.0022392,          0.00036564,            0.002971,            0.002971,            0.002971
                  73,            0.010595,           0.0037074,           0.0009995,             0.99634,              0.9993,             0.99418,             0.94345,           0.0066966,           0.0022325,           0.0003605,            0.002872,            0.002872,            0.002872
                  74,            0.010484,           0.0036805,          0.00093074,             0.99638,             0.99921,             0.99419,             0.94386,           0.0066767,           0.0022253,          0.00035387,            0.002773,            0.002773,            0.002773
                  75,            0.010401,           0.0036738,          0.00084593,             0.99637,              0.9993,             0.99419,             0.94422,           0.0066546,           0.0022185,          0.00034516,            0.002674,            0.002674,            0.002674
                  76,            0.010355,           0.0036881,          0.00084907,             0.99641,             0.99933,             0.99419,             0.94422,           0.0066354,           0.0022118,          0.00033891,            0.002575,            0.002575,            0.002575
                  77,            0.010277,           0.0036003,          0.00077264,             0.99641,             0.99934,             0.99417,             0.94473,           0.0066126,            0.002203,          0.00033166,            0.002476,            0.002476,            0.002476
                  78,            0.010084,            0.003613,           0.0008604,             0.99672,             0.99931,              0.9942,             0.94512,           0.0065926,           0.0021953,          0.00032488,            0.002377,            0.002377,            0.002377
                  79,            0.010105,           0.0035711,          0.00097225,             0.99681,             0.99936,             0.99421,             0.94509,           0.0065721,           0.0021877,          0.00031817,            0.002278,            0.002278,            0.002278
                  80,            0.010028,           0.0035265,          0.00090708,             0.99682,             0.99949,             0.99423,             0.94572,           0.0065545,           0.0021806,          0.00031214,            0.002179,            0.002179,            0.002179
                  81,           0.0099425,           0.0035502,          0.00077403,             0.99684,              0.9994,             0.99426,             0.94597,           0.0065352,           0.0021734,          0.00030558,             0.00208,             0.00208,             0.00208
                  82,           0.0097327,           0.0035374,          0.00075913,             0.99685,             0.99949,             0.99427,             0.94639,           0.0065186,           0.0021676,          0.00029887,            0.001981,            0.001981,            0.001981
